request_id,forecast_time,power_output_w,power_output_f0_w,power_output_f10_w,power_output_f25_w,power_output_f50_w,power_output_f75_w,power_output_f90_w,power_output_f100_w,system_temperature_c,nominal_output_efficiency,air_temperature_c,cloud_cover_total,cloud_cover_high,cloud_cover_medium,cloud_cover_low,system_radiation_global_wm2,system_radiation_direct_wm2,system_radiation_diffuse_wm2,radiation_global_wm2,radiation_direct_wm2,radiation_diffuse_wm2
4421,2020-10-14 03:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,NaN,4.5,0.7,0.1,0,0.5,NaN,NaN,NaN,0,0,0
4421,2020-10-14 04:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.1,NaN,4.1,2.3,0.1,0,2,NaN,NaN,NaN,0,0,0
4421,2020-10-14 05:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75,NaN,3.75,2.2,0,0,2.1,NaN,NaN,NaN,0,0,0
4421,2020-10-14 06:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,NaN,3.5,4.5,3.4,0,1.2,NaN,NaN,NaN,0,0,0
4421,2020-10-14 07:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.35,NaN,3.35,61.6,60.7,0,2.1,NaN,NaN,NaN,0,0,0
4421,2020-10-14 08:00:00+03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4,NaN,3.4,60.7,59.3,0,3.5,NaN,NaN,NaN,0,0,0
4421,2020-10-14 09:00:00+03,521.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.77,0.682,3.75,63,61.1,0,4.9,38.42,2.53,35.93,30.6,8.82,30.12
4405,2020-10-11 10:00:00+03,0,0,0,0,0,0,0,0,10.88,0,10.75,100,99.7,100,100,4.4,0,4.39,4.47,0,4.47
4405,2020-10-11 11:00:00+03,70.2,19.7,26.1,37.7,67.2,103.1,143.1,263.6,11.3,0.294,10.95,100,100,100,81.3,11.93,0.01,11.9,12.11,0.01,12.11
4405,2020-10-11 12:00:00+03,901.8,75.6,117.2,189.8,313.2,541.5,822.3,1664.6,12.85,0.761,11.15,100,100,88.9,99.9,59.14,3.91,55.11,58.45,7,56.07
