Date,Time,Room Temperature,Room Setpoint,Heating Demand,Heating Power,Cooling Demand,Cooling Power,Current Outside Temperature,Outside Temperature External,Current Solar Power,Solar Power External,Supply Air Temp
16/11/2020,17:35:02,21.561195,21.000000,0.000000,0.000000,28.235167,229.017288,5.180000,5.180000,0.000000,0.000000,18.619976
16/11/2020,17:36:02,21.551010,21.000000,0.000000,0.000000,31.740053,255.018768,5.180000,5.180000,0.000000,0.000000,18.673336
16/11/2020,17:37:02,21.527666,21.000000,0.000000,0.000000,34.897675,278.963898,5.180000,5.180000,0.000000,0.000000,18.683886
16/11/2020,17:38:02,21.500093,21.000000,0.000000,0.000000,0.000000,0.000000,5.180000,5.180000,0.000000,0.000000,18.668118
16/11/2020,17:39:02,21.542107,21.000000,0.000000,0.000000,23.809147,190.624557,5.180000,5.180000,0.000000,0.000000,18.688631
16/11/2020,17:40:02,21.549759,21.000000,0.000000,0.000000,27.586609,222.435379,5.180000,5.180000,0.000000,0.000000,18.648468
16/11/2020,17:41:02,21.537188,21.000000,0.000000,0.000000,30.955645,252.564529,5.180000,5.180000,0.000000,0.000000,18.555672
16/11/2020,17:42:02,21.512962,21.000000,0.000000,0.000000,33.982468,275.439484,5.180000,5.180000,0.000000,0.000000,18.576004
16/11/2020,17:43:02,21.524147,21.000000,0.000000,0.000000,21.716827,175.676575,5.180000,5.180000,0.000000,0.000000,18.585514
16/11/2020,17:44:02,21.540234,21.000000,0.000000,0.000000,25.459225,205.879700,5.180000,5.180000,0.000000,0.000000,18.613070
16/11/2020,17:45:02,21.535160,21.000000,0.000000,0.000000,28.843142,235.307892,5.180000,5.180000,0.000000,0.000000,18.554371
16/11/2020,17:46:02,21.515507,21.000000,0.000000,0.000000,32.005733,261.018036,5.180000,5.180000,0.000000,0.000000,18.536869
16/11/2020,17:47:02,21.518021,21.000000,0.000000,0.000000,21.113005,170.627747,5.180000,5.180000,0.000000,0.000000,18.601826
16/11/2020,17:48:02,21.535469,21.000000,0.000000,0.000000,24.832870,200.547073,5.180000,5.180000,0.000000,0.000000,18.623701
16/11/2020,17:49:02,21.531975,21.000000,0.000000,0.000000,28.268675,228.818970,5.180000,5.180000,0.000000,0.000000,18.604412
16/11/2020,17:50:02,21.514189,21.000000,0.000000,0.000000,31.329222,253.906021,5.180000,5.180000,0.000000,0.000000,18.568863
16/11/2020,17:51:02,21.518684,21.000000,0.000000,0.000000,21.289011,172.181351,5.180000,5.180000,0.000000,0.000000,18.597282
16/11/2020,17:52:02,21.532034,21.000000,0.000000,0.000000,24.930788,201.349274,5.180000,5.180000,0.000000,0.000000,18.619837
16/11/2020,17:53:03,21.526510,21.000000,0.000000,0.000000,28.296793,228.583832,5.180000,5.180000,0.000000,0.000000,18.612583
16/11/2020,17:54:03,21.508188,21.000000,0.000000,0.000000,31.356407,250.482742,5.180000,5.180000,0.000000,0.000000,18.669073
16/11/2020,17:55:03,21.522049,21.000000,0.000000,0.000000,21.962040,176.356552,5.180000,5.180000,0.000000,0.000000,18.630659
16/11/2020,17:56:02,21.531225,21.000000,0.000000,0.000000,25.485847,203.177032,5.180000,5.180000,0.000000,0.000000,18.705944
16/11/2020,17:57:02,21.522194,21.000000,0.000000,0.000000,28.833269,232.851120,5.180000,5.180000,0.000000,0.000000,18.610130
16/11/2020,17:58:02,21.501099,21.000000,0.000000,0.000000,31.803379,256.812714,5.180000,5.180000,0.000000,0.000000,18.589479
16/11/2020,18:01:04,21.512350,21.000000,0.000000,0.000000,29.742435,240.060089,5.180000,5.080000,0.000000,0.020000,18.603951
16/11/2020,18:02:04,21.518230,21.000000,0.000000,0.000000,21.497421,173.750992,5.080000,5.080000,0.020000,0.020000,18.603495
16/11/2020,18:03:04,21.462524,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.615376
16/11/2020,18:04:04,21.408907,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.686184
16/11/2020,18:05:04,21.340776,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.648352
16/11/2020,18:06:04,21.263536,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.660341
16/11/2020,18:07:04,21.181166,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.641153
16/11/2020,18:08:04,21.095032,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.629112
16/11/2020,18:09:04,21.011429,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.608814
16/11/2020,18:10:04,20.927485,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.558487
16/11/2020,18:11:04,20.845572,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.529961
16/11/2020,18:12:04,20.766323,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.522064
16/11/2020,18:13:04,20.689005,21.000000,0.000000,0.000000,0.000000,0.000000,5.080000,5.080000,0.020000,0.020000,18.592508
